y,d
6,8.0
5,4.0
29,4.0
40,16.0
59,18.0
2,1.0
0,0.0
1,9.0
1,3.0
1,1.0
4,3.0
3,3.0
15,6.0
5,7.0
8,2.0
0,0.0
1,1.0
2,8.0
3,5.0
0,0.0
0,0.0
0,0.0
7,8.0
6,3.0
0,0.0
5,5.0
2,5.0
4,9.0
4,5.0
0,0.0
1,14.0
0,0.0
1,4.0
6,4.0
30,5.0
16,43.0
0,0.0
0,0.0
0,0.0
9,19.0
0,0.0
1,1.0
25,2.0
2,1.0
0,0.0
0,0.0
8,13.0
0,0.0
2,2.0
11,7.0
5,3.0
1,1.0
0,0.0
8,10.0
2,1.0
8,6.0
7,4.0
1,1.0
0,0.0
5,2.0
12,6.0
0,0.0
0,0.0
4,2.0
11,11.0
3,5.0
4,2.0
7,11.0
4,2.0
1,4.0
6,12.0
1,4.0
6,4.0
1,1.0
1,1.0
0,0.0
5,5.0
5,10.0
3,2.0
1,1.0
5,3.0
4,2.0
2,3.0
0,0.0
0,0.0
15,16.0
3,2.0
9,12.0
1,5.0
2,4.0
0,0.0
8,9.0
13,11.0
0,0.0
0,0.0
1,1.0
1,5.0
0,0.0
0,0.0
1,3.0
1,1.0
0,0.0
9,8.0
2,6.0
11,12.0
0,0.0
14,18.0
6,11.0
1,1.0
18,8.0
1,3.0
0,0.0
2,1.0
3,3.0
4,4.0
0,0.0
2,3.0
0,0.0
7,2.0
7,4.0
0,0.0
3,3.0
1,1.0
12,3.0
12,2.0
1,4.0
0,0.0
7,4.0
0,0.0
0,0.0
11,4.0
6,4.0
0,0.0
3,2.0
7,3.0
5,3.0
1,7.0
1,8.0
0,0.0
7,2.0
5,1.0
1,1.0
17,9.0
2,1.0
9,16.0
9,2.0
0,0.0
18,18.0
1,1.0
1,1.0
1,5.0
6,3.0
7,10.0
4,3.0
8,4.0
1,1.0
3,5.0
1,2.0
5,12.0
10,6.0
3,1.0
4,13.0
1,1.0
11,3.0
1,1.0
5,4.0
0,0.0
9,5.0
3,1.0
0,0.0
7,4.0
10,12.0
5,5.0
11,7.0
5,8.0
0,0.0
2,3.0
0,0.0
3,3.0
24,4.0
13,10.0
3,5.0
1,1.0
9,8.0
15,7.0
0,0.0
7,10.0
2,4.0
0,0.0
0,0.0
19,7.0
1,4.0
0,0.0
8,5.0
7,11.0
8,11.0
1,1.0
9,11.0
0,0.0
13,4.0
1,1.0
3,2.0
3,2.0
28,11.0
13,10.0
0,0.0
7,1.0
1,4.0
0,0.0
0,0.0
11,7.0
8,8.0
0,0.0
0,0.0
18,2.0
11,8.0
1,2.0
13,7.0
12,13.0
0,0.0
0,0.0
7,5.0
12,9.0
2,1.0
9,2.0
0,0.0
5,4.0
8,3.0
0,0.0
5,2.0
1,1.0
4,5.0
0,0.0
0,0.0
1,6.0
2,1.0
5,4.0
1,2.0
0,0.0
1,19.0
